,c12,6/8,12/8,9/4,c6,9/8,2/2,4/4,c2,c4,c8,2/4,3/4,12/4,c3,5/4,5/8,7/8,6/4,7/4
c12,0.0,5.8070384362021255,10.620486506175398,13.136584843896314,14.4253452291444,15.723565185614781,16.589661368415243,16.589661368415243,16.688555934928594,16.688555934928594,16.688555934928594,16.69390255421013,16.949559310352193,17.744975132146173,20.48020777421953,62.43108456975038,71.09453373116379,71.1445217750998,94.84167866343871,101.41844158035813
6/8,5.8070384362021255,0.0,9.848711697143274,14.634067190198394,10.528083137635672,13.781546657620135,16.353206557271825,16.353206557271825,16.443057672920688,16.443057672920688,16.443057672920688,16.427084826636968,19.138310024481502,17.749168896501704,18.784284473758003,63.33983271086332,70.91986401896361,71.98160790976422,95.98675297980469,100.29627274830392
12/8,10.620486506175398,9.848711697143274,0.0,17.384010904699835,14.562565122421637,18.041858689039085,18.973703499189217,18.973703499189217,19.049624798505842,19.049624798505842,19.049624798505842,19.060476964587757,21.51842978442242,19.65724461729065,22.05929410361088,64.63988519720724,73.33173786365381,71.84254119872848,96.20724587232432,101.06602503353285
9/4,13.136584843896314,14.634067190198394,17.384010904699835,0.0,20.49928878953114,25.12976932804655,23.073251396666382,23.073251396666382,23.22380211919291,23.22380211919291,23.22380211919291,23.226953296490688,20.59193140664261,23.16025617402624,25.53235502898003,64.84921498919671,72.89617995641822,73.24001522798375,96.07111056099109,103.28520803712327
c6,14.4253452291444,10.528083137635672,14.562565122421637,20.49928878953114,0.0,12.560415279763731,18.578506662781944,18.578506662781944,18.63718150838853,18.63718150838853,18.63718150838853,18.617480552722668,24.51779475602692,21.433103355061352,20.42035224833365,63.44915543766829,73.22662902051425,73.12317974576075,96.78010656620876,100.27450467276792
9/8,15.723565185614781,13.781546657620135,18.041858689039085,25.12976932804655,12.560415279763731,0.0,18.71223031977708,18.71223031977708,18.72146844128829,18.72146844128829,18.72146844128829,18.71087920861897,23.819892269157673,23.97073776295571,20.887286071680467,63.19952163891531,72.7396298522928,71.87584422485757,96.7674041621568,99.72744672757608
2/2,16.589661368415243,16.353206557271825,18.973703499189217,23.073251396666382,18.578506662781944,18.71223031977708,0.0,0.0,0.5984002533353978,0.5984002533353978,0.5984002533353978,0.6843871413472937,28.432970106639296,17.298453082751973,16.713855198491018,66.541033086484,70.25375713547841,68.64601333328093,96.88655103907695,99.03911692077037
4/4,16.589661368415243,16.353206557271825,18.973703499189217,23.073251396666382,18.578506662781944,18.71223031977708,0.0,0.0,0.5984002533353978,0.5984002533353978,0.5984002533353978,0.6843871413472937,28.432970106639296,17.298453082751973,16.713855198491018,66.541033086484,70.25375713547841,68.64601333328093,96.88655103907695,99.03911692077037
c2,16.688555934928594,16.443057672920688,19.049624798505842,23.22380211919291,18.63718150838853,18.72146844128829,0.5984002533353978,0.5984002533353978,0.0,0.0,0.0,0.42247283489375725,28.523596276963243,17.274858561808653,16.738726381615233,66.56973461566977,70.26494426391287,68.64074287239033,96.89999088107824,99.02146244570683
c4,16.688555934928594,16.443057672920688,19.049624798505842,23.22380211919291,18.63718150838853,18.72146844128829,0.5984002533353978,0.5984002533353978,0.0,0.0,0.0,0.42247283489375725,28.523596276963243,17.274858561808653,16.738726381615233,66.56973461566977,70.26494426391287,68.64074287239033,96.89999088107824,99.02146244570683
c8,16.688555934928594,16.443057672920688,19.049624798505842,23.22380211919291,18.63718150838853,18.72146844128829,0.5984002533353978,0.5984002533353978,0.0,0.0,0.0,0.42247283489375725,28.523596276963243,17.274858561808653,16.738726381615233,66.56973461566977,70.26494426391287,68.64074287239033,96.89999088107824,99.02146244570683
2/4,16.69390255421013,16.427084826636968,19.060476964587757,23.226953296490688,18.617480552722668,18.71087920861897,0.6843871413472937,0.6843871413472937,0.42247283489375725,0.42247283489375725,0.42247283489375725,0.0,28.523456686478596,17.279784262109146,16.71166713629612,66.57169606220324,70.24950251718998,68.65400061028147,96.91181123058229,99.01026284366174
3/4,16.949559310352193,19.138310024481502,21.51842978442242,20.59193140664261,24.51779475602692,23.819892269157673,28.432970106639296,28.432970106639296,28.523596276963243,28.523596276963243,28.523596276963243,28.523456686478596,0.0,27.24092276646472,29.270809188141307,52.95788154685906,68.12123674913505,75.90720737924106,93.7224930852163,105.34600276491938
12/4,17.744975132146173,17.749168896501704,19.65724461729065,23.16025617402624,21.433103355061352,23.97073776295571,17.298453082751973,17.298453082751973,17.274858561808653,17.274858561808653,17.274858561808653,17.279784262109146,27.24092276646472,0.0,22.610055528103516,66.46745684851636,71.75552553342835,71.40740173773544,95.59612015217786,100.7357551333643
c3,20.48020777421953,18.784284473758003,22.05929410361088,25.53235502898003,20.42035224833365,20.887286071680467,16.713855198491018,16.713855198491018,16.738726381615233,16.738726381615233,16.738726381615233,16.71166713629612,29.270809188141307,22.610055528103516,0.0,66.08960573738835,73.7474672499092,63.19047764538673,105.70450520065631,91.7618155087537
5/4,62.43108456975038,63.33983271086332,64.63988519720724,64.84921498919671,63.44915543766829,63.19952163891531,66.541033086484,66.541033086484,66.56973461566977,66.56973461566977,66.56973461566977,66.57169606220324,52.95788154685906,66.46745684851636,66.08960573738835,0.0,54.36141438006295,115.16689450201777,80.21937409290334,143.98772718516446
5/8,71.09453373116379,70.91986401896361,73.33173786365381,72.89617995641822,73.22662902051425,72.7396298522928,70.25375713547841,70.25375713547841,70.26494426391287,70.26494426391287,70.26494426391287,70.24950251718998,68.12123674913505,71.75552553342835,73.7474672499092,54.36141438006295,0.0,129.38364874301067,68.82063600238402,156.57800517921632
7/8,71.1445217750998,71.98160790976422,71.84254119872848,73.24001522798375,73.12317974576075,71.87584422485757,68.64601333328093,68.64601333328093,68.64074287239033,68.64074287239033,68.64074287239033,68.65400061028147,75.90720737924106,71.40740173773544,63.19047764538673,115.16689450201777,129.38364874301067,0.0,159.2832013384732,50.56370389610529
6/4,94.84167866343871,95.98675297980469,96.20724587232432,96.07111056099109,96.78010656620876,96.7674041621568,96.88655103907695,96.88655103907695,96.89999088107824,96.89999088107824,96.89999088107824,96.91181123058229,93.7224930852163,95.59612015217786,105.70450520065631,80.21937409290334,68.82063600238402,159.2832013384732,0.0,192.55707451717177
7/4,101.41844158035813,100.29627274830392,101.06602503353285,103.28520803712327,100.27450467276792,99.72744672757608,99.03911692077037,99.03911692077037,99.02146244570683,99.02146244570683,99.02146244570683,99.01026284366174,105.34600276491938,100.7357551333643,91.7618155087537,143.98772718516446,156.57800517921632,50.56370389610529,192.55707451717177,0.0
