,4/4,12/8,12/4,2/4,2/2,7/8,7/4,bc24,5/8,5/4,3/4,6/8,6/4,9/8,9/4,bc12,bc6,bc8,bc3,bc4,bc1,bc2
4/4,0.0,0.6187517215161547,0.6829481557905569,1.376170140986057,1.448399438922543,1.5954888209609237,1.6503126196316635,1.6630793697467048,1.6705079074160372,1.7144235294141053,1.7291506650831574,1.7887284402383967,1.861380378003388,2.050991344030468,2.099986505736156,2.3683950990811624,2.828244834396339,2.9525040423525586,3.025726361739568,3.1166874275784666,3.2385212044073435,3.2385212044073435
12/8,0.6187517215161547,0.0,0.14109167208201076,1.3239161490664344,1.3577253727234893,1.5766483519725802,1.5825590523675428,1.6401505283209732,1.6559501711707858,1.6524538130619393,1.6551982957831548,1.342886389209015,1.4260218443708879,1.6431883961402762,1.6956431051852519,2.32709733203253,2.6829871251947868,2.4395604317236406,2.7753450855522086,2.712765879466653,2.891210597102619,2.891210597102619
12/4,0.6829481557905569,0.14109167208201076,0.0,1.248558337712245,1.2716527543305935,1.5355479853383478,1.5117997916700285,1.640926511653269,1.6135131385962993,1.5818212388985289,1.5835575452267647,1.245882563014849,1.3173445917394495,1.5527598984792792,1.5938571688858252,2.250825872611015,2.562463702949911,2.344733997370035,2.6473890335114487,2.600582551723907,2.7559993450421447,2.7559993450421447
2/4,1.376170140986057,1.3239161490664344,1.248558337712245,0.0,0.15563800795701202,0.8363362259904386,0.6682506181132923,1.3324842042283935,0.8176875022562582,0.6474558519509955,0.6668799675683812,1.046857796430589,1.0691295218226076,1.2171599950985257,1.2264637718362361,1.2686558685193914,1.8038457288784004,2.208662028879656,2.072381772700077,2.2071441381463903,2.3319767473712547,2.3319767473712547
2/2,1.448399438922543,1.3577253727234893,1.2716527543305935,0.15563800795701202,0.0,0.889053397069041,0.6746283489097172,1.4123555888945691,0.8724595395984809,0.6551968666372089,0.6694558422690295,0.9786986459206967,0.9834575355577644,1.1492836030637121,1.1428908660453205,1.2304973952373277,1.7016270321773594,2.1178565658355466,1.9258406953439375,2.089241237809631,2.20054413883077,2.20054413883077
7/8,1.5954888209609237,1.5766483519725802,1.5355479853383478,0.8363362259904386,0.889053397069041,0.0,0.4298833510835549,1.2724271107618381,0.744646599778403,0.8221295180224946,0.9004952716554432,1.3960406610940372,1.448074728790257,1.4342307532456644,1.4844679857631502,1.4665764615925918,2.2477659856916006,2.463117746962628,2.4730699010436936,2.512488401223459,2.7041815705093497,2.7041815705093497
7/4,1.6503126196316635,1.5825590523675428,1.5117997916700285,0.6682506181132923,0.6746283489097172,0.4298833510835549,0.0,1.4121228693893944,0.8219748526678075,0.6607983169511722,0.74226460512984,1.225053384060648,1.2371016162813258,1.2631699825700682,1.2732070510642894,1.3521394837980825,1.8432162467346187,2.2526717420512137,2.108456502749894,2.2511478991248537,2.3690445921301735,2.3690445921301735
bc24,1.6630793697467048,1.6401505283209732,1.640926511653269,1.3324842042283935,1.4123555888945691,1.2724271107618381,1.4121228693893944,0.0,1.1936505969855735,1.3496760814061413,1.3802397243162583,1.6465354292462844,1.7423604434712905,1.6948335458725576,1.7881970880719382,2.3492613507468145,2.898945441125816,2.76339711883103,3.0741860595131527,3.104249287084341,3.2613438390276546,3.2613438390276546
5/8,1.6705079074160372,1.6559501711707858,1.6135131385962993,0.8176875022562582,0.8724595395984809,0.744646599778403,0.8219748526678075,1.1936505969855735,0.0,0.4296186390370476,0.846177131156552,1.4020062723515732,1.4533740142540938,1.4210362811335675,1.4725780115743772,1.4187432839262148,2.2330410736822994,2.462810187313962,2.466199593525299,2.51202300263175,2.703749168423549,2.703749168423549
5/4,1.7144235294141053,1.6524538130619393,1.5818212388985289,0.6474558519509955,0.6551968666372089,0.8221295180224946,0.6607983169511722,1.3496760814061413,0.4296186390370476,0.0,0.6833686713587299,1.2310758329750044,1.2426393679204255,1.2498546646895923,1.2609316794164562,1.306101922949829,1.8281577289109308,2.2525570492566733,2.101990718297503,2.250893514376732,2.368890339179246,2.368890339179246
3/4,1.7291506650831574,1.6551982957831548,1.5835575452267647,0.6668799675683812,0.6694558422690295,0.9004952716554432,0.74226460512984,1.3802397243162583,0.846177131156552,0.6833686713587299,0.0,1.2164373474380388,1.226996520213322,1.0613030634166942,1.0861603474989177,1.3153884198088388,1.8257896071944661,2.228734715968673,2.090966148158034,2.2274000675525847,2.3496071430748593,2.3496071430748593
6/8,1.7887284402383967,1.342886389209015,1.245882563014849,1.046857796430589,0.9786986459206967,1.3960406610940372,1.225053384060648,1.6465354292462844,1.4020062723515732,1.2310758329750044,1.2164373474380388,0.0,0.17885668969107618,0.5635773841260777,0.574064342815305,1.759672949936043,1.9492082580912944,1.3109829769880035,1.9254630913243416,1.639656837068747,1.9205401696778663,1.9205401696778663
6/4,1.861380378003388,1.4260218443708879,1.3173445917394495,1.0691295218226076,0.9834575355577644,1.448074728790257,1.2371016162813258,1.7423604434712905,1.4533740142540938,1.2426393679204255,1.226996520213322,0.17885668969107618,0.0,0.571912250168379,0.5240224645416621,1.732751831216743,1.819734674092023,1.2585831744204157,1.7774369520469,1.532713086343538,1.7528143276457988,1.7528143276457988
9/8,2.050991344030468,1.6431883961402762,1.5527598984792792,1.2171599950985257,1.1492836030637121,1.4342307532456644,1.2631699825700682,1.6948335458725576,1.4210362811335675,1.2498546646895923,1.0613030634166942,0.5635773841260777,0.571912250168379,0.0,0.1844958216072874,1.779958740071336,1.956329062020371,1.3161587636900292,1.9274885101417978,1.6371866158288673,1.9184316550373064,1.9184316550373064
9/4,2.099986505736156,1.6956431051852519,1.5938571688858252,1.2264637718362361,1.1428908660453205,1.4844679857631502,1.2732070510642894,1.7881970880719382,1.4725780115743772,1.2609316794164562,1.0861603474989177,0.574064342815305,0.5240224645416621,0.1844958216072874,0.0,1.7514942771371529,1.822974179061345,1.2625090333386704,1.7749877092324229,1.527241141744452,1.7454879545305588,1.7454879545305588
bc12,2.3683950990811624,2.32709733203253,2.250825872611015,1.2686558685193914,1.2304973952373277,1.4665764615925918,1.3521394837980825,2.3492613507468145,1.4187432839262148,1.306101922949829,1.3153884198088388,1.759672949936043,1.732751831216743,1.779958740071336,1.7514942771371529,0.0,1.6916300351260647,2.4208397543577864,1.968507919044107,1.9883380930045633,2.225643361388572,2.225643361388572
bc6,2.828244834396339,2.6829871251947868,2.562463702949911,1.8038457288784004,1.7016270321773594,2.2477659856916006,1.8432162467346187,2.898945441125816,2.2330410736822994,1.8281577289109308,1.8257896071944661,1.9492082580912944,1.819734674092023,1.956329062020371,1.822974179061345,1.6916300351260647,0.0,2.2160701277379324,0.9851504736828418,1.7253243712550144,1.4059673488550548,1.4059673488550548
bc8,2.9525040423525586,2.4395604317236406,2.344733997370035,2.208662028879656,2.1178565658355466,2.463117746962628,2.2526717420512137,2.76339711883103,2.462810187313962,2.2525570492566733,2.228734715968673,1.3109829769880035,1.2585831744204157,1.3161587636900292,1.2625090333386704,2.4208397543577864,2.2160701277379324,0.0,1.9880347076139728,1.4142135623730951,1.7320508075688772,1.7320508075688772
bc3,3.025726361739568,2.7753450855522086,2.6473890335114487,2.072381772700077,1.9258406953439375,2.4730699010436936,2.108456502749894,3.0741860595131527,2.466199593525299,2.101990718297503,2.090966148158034,1.9254630913243416,1.7774369520469,1.9274885101417978,1.7749877092324229,1.968507919044107,0.9851504736828418,1.9880347076139728,0.0,1.4090291046251149,0.9985283792228454,0.9985283792228454
bc4,3.1166874275784666,2.712765879466653,2.600582551723907,2.2071441381463903,2.089241237809631,2.512488401223459,2.2511478991248537,3.104249287084341,2.51202300263175,2.250893514376732,2.2274000675525847,1.639656837068747,1.532713086343538,1.6371866158288673,1.527241141744452,1.9883380930045633,1.7253243712550144,1.4142135623730951,1.4090291046251149,0.0,1.0,1.0
bc1,3.2385212044073435,2.891210597102619,2.7559993450421447,2.3319767473712547,2.20054413883077,2.7041815705093497,2.3690445921301735,3.2613438390276546,2.703749168423549,2.368890339179246,2.3496071430748593,1.9205401696778663,1.7528143276457988,1.9184316550373064,1.7454879545305588,2.225643361388572,1.4059673488550548,1.7320508075688772,0.9985283792228454,1.0,0.0,0.0
bc2,3.2385212044073435,2.891210597102619,2.7559993450421447,2.3319767473712547,2.20054413883077,2.7041815705093497,2.3690445921301735,3.2613438390276546,2.703749168423549,2.368890339179246,2.3496071430748593,1.9205401696778663,1.7528143276457988,1.9184316550373064,1.7454879545305588,2.225643361388572,1.4059673488550548,1.7320508075688772,0.9985283792228454,1.0,0.0,0.0
