,mc7,7/8,7/4,9/4,5/4,9/8,mc12,5/8,6/4,mc9,12/4,mc8,12/8,3/4,6/8,mc6,4/4,2/2,mc5,2/4,mc4,mc3,mc2
mc7,0.0,7.569506446716221,8.319980162087745,21.702337577119646,21.985713376875875,22.418257060837796,22.58317958127243,23.157362898785287,23.53741705681455,23.664319132398465,23.75520897494223,24.186773244895647,24.379601630577053,24.38566103542461,24.53354493949243,25.69046515733026,26.093117645105576,26.093117645105576,26.832815729997478,27.192327087081047,28.460498941515414,30.983866769659336,35.4964786985977
7/8,7.569506446716221,0.0,2.4427129587190586,17.807710322550097,18.161952629026118,18.57845697408884,19.31262812405109,19.413508938780016,18.814916826701467,20.75349094324468,18.98399306348789,20.830137223271425,19.650984729138486,20.495332605963448,19.875153855897736,22.24436172208018,21.46826011459733,21.46826011459733,23.965776224482774,22.639796644912682,24.832350911413993,28.10400319541597,31.33923614069389
7/4,8.319980162087745,2.4427129587190586,0.0,16.99591057158241,17.29774172905198,17.866506495253958,17.987699387537617,18.711955008037986,18.36675507637721,19.73567963405563,18.446272707354705,19.65309252030103,19.17067446996353,19.98406530747323,19.521514556398227,21.507212299549547,21.126536338935267,21.126536338935267,23.292650640825517,22.36938103046971,23.96464468079562,27.787107779719644,31.485119494790034
9/4,21.702337577119646,17.807710322550097,16.99591057158241,0.0,17.38305332412552,1.572153163643502,15.65181648387643,18.501639514241212,14.183782067845545,10.52997496911535,16.674972690884047,20.84143350233301,17.286250771000123,9.371251924922923,15.117066471485764,15.185274801765173,19.98187734320453,19.98187734320453,23.396319374142724,21.102920812886534,24.263759074330288,15.708281143665182,30.302856145887514
5/4,21.985713376875875,18.161952629026118,17.29774172905198,17.38305332412552,0.0,18.09709192201779,19.324159691869433,2.8545807211371392,17.824827723151614,20.91515051842962,17.73653773736894,20.5374556891494,18.361290809268578,19.738020719772177,18.817164304695858,22.087904136170966,20.0761211292932,20.0761211292932,9.751701647701985,21.202556572887715,23.80921883104286,27.548866067037522,30.17011742336955
9/8,22.418257060837796,18.57845697408884,17.866506495253958,1.572153163643502,18.09709192201779,0.0,16.78386721069146,19.09428551306404,14.459428242478689,10.976287895672767,17.122445912498744,21.730312065442106,17.68040095805835,9.170976670922379,15.285289748233405,15.444209218650991,20.256166105877966,20.256166105877966,23.95120936451877,21.313596804954397,24.89056299524408,14.933256131143402,30.235863700870926
mc12,22.58317958127243,19.31262812405109,17.987699387537617,15.65181648387643,19.324159691869433,16.78386721069146,0.0,21.012316858738544,15.65600948638201,18.708286933869708,16.90821829199694,17.74823934929885,17.611488809111773,15.747319750278555,16.762614058487916,14.491376746189438,21.507275069144484,21.507275069144484,25.099800796022265,22.73540613010013,20.493901531919196,25.099800796022265,32.4037034920393
5/8,23.157362898785287,19.413508938780016,18.711955008037986,18.501639514241212,2.8545807211371392,19.09428551306404,21.012316858738544,0.0,18.507081403861847,22.243939126410382,18.54269577821641,22.078346308540485,19.08960478791456,20.48600291309661,19.37134672493801,23.095222269284594,20.61266753713839,20.61266753713839,8.846525447416168,21.63806623888902,25.00522192589559,28.019408056301927,30.0146067648767
6/4,23.53741705681455,18.814916826701467,18.36675507637721,14.183782067845545,17.824827723151614,14.459428242478689,15.65600948638201,18.507081403861847,0.0,21.169416084432868,6.746301393630056,19.189025898925898,7.015829783950621,11.318237560650331,1.855287940084312,12.917888763141859,10.353393821168684,10.353393821168684,24.60390859957022,11.228266461381969,18.452711477167362,22.20639799703207,18.757410620094124
mc9,23.664319132398465,20.75349094324468,19.73567963405563,10.52997496911535,20.91515051842962,10.976287895672767,18.708286933869708,22.243939126410382,21.169416084432868,0.0,22.70325975727764,22.9128784747792,23.38587582348263,18.863602306564708,22.228117927933784,20.493901531919196,25.76577184739933,25.76577184739933,25.92296279363144,26.95105796038624,27.748873851023216,23.664319132398465,35.4964786985977
12/4,23.75520897494223,18.98399306348789,18.446272707354705,16.674972690884047,17.73653773736894,17.122445912498744,16.90821829199694,18.54269577821641,6.746301393630056,22.70325975727764,0.0,17.17327007544309,1.0486824967566328,15.466636498301206,7.1315773073327335,18.27149803230125,5.160388578965741,5.160388578965741,24.723891915356436,6.3045080092247545,13.156076620070605,25.544050069011647,17.79284465202101
mc8,24.186773244895647,20.830137223271425,19.65309252030103,20.84143350233301,20.5374556891494,21.730312065442106,17.74823934929885,22.078346308540485,19.189025898925898,22.9128784747792,17.17327007544309,0.0,17.74411824156036,22.752572286845634,20.529163627878088,22.9128784747792,18.064670108169057,18.064670108169057,26.324893162176366,19.12167827076478,17.74823934929885,30.740852297878796,30.740852297878796
12/8,24.379601630577053,19.650984729138486,19.17067446996353,17.286250771000123,18.361290809268578,17.68040095805835,17.611488809111773,19.08960478791456,7.015829783950621,23.38587582348263,1.0486824967566328,17.74411824156036,0.0,15.81787560594014,7.201800772677564,18.73008404478359,4.687107787650878,4.687107787650878,25.237880918156065,5.630034663905703,13.16566875692523,25.785575437242628,17.172555090635655
3/4,24.38566103542461,20.495332605963448,19.98406530747323,9.371251924922923,19.738020719772177,9.170976670922379,15.747319750278555,20.48600291309661,11.318237560650331,18.863602306564708,15.466636498301206,22.752572286845634,15.81787560594014,0.0,11.685041766761138,11.543337910270731,18.88114988408391,18.88114988408391,25.48202146733009,19.71931874015798,24.028753859048933,12.31057745622331,28.17961344738517
6/8,24.53354493949243,19.875153855897736,19.521514556398227,15.117066471485764,18.817164304695858,15.285289748233405,16.762614058487916,19.37134672493801,1.855287940084312,22.228117927933784,7.1315773073327335,20.529163627878088,7.201800772677564,11.685041766761138,0.0,13.457851417599567,10.310541562590961,10.310541562590961,25.4216180875216,11.00365162810339,18.759208097533556,22.367324822310767,17.79694046739368
mc6,25.69046515733026,22.24436172208018,21.507212299549547,15.185274801765173,22.087904136170966,15.444209218650991,14.491376746189438,23.095222269284594,12.917888763141859,20.493901531919196,18.27149803230125,22.9128784747792,18.73008404478359,11.543337910270731,13.457851417599567,0.0,21.97276672180963,21.97276672180963,27.49545416973504,22.920623619492535,25.099800796022265,20.493901531919196,28.982753492378876
4/4,26.093117645105576,21.46826011459733,21.126536338935267,19.98187734320453,20.0761211292932,20.256166105877966,21.507275069144484,20.61266753713839,10.353393821168684,25.76577184739933,5.160388578965741,18.064670108169057,4.687107787650878,18.88114988408391,10.310541562590961,21.97276672180963,0.0,0.0,26.67221793607858,1.8435488673206095,13.370458921018807,27.97687483862031,15.475398582663823
2/2,26.093117645105576,21.46826011459733,21.126536338935267,19.98187734320453,20.0761211292932,20.256166105877966,21.507275069144484,20.61266753713839,10.353393821168684,25.76577184739933,5.160388578965741,18.064670108169057,4.687107787650878,18.88114988408391,10.310541562590961,21.97276672180963,0.0,0.0,26.67221793607858,1.8435488673206095,13.370458921018807,27.97687483862031,15.475398582663823
mc5,26.832815729997478,23.965776224482774,23.292650640825517,23.396319374142724,9.751701647701985,23.95120936451877,25.099800796022265,8.846525447416168,24.60390859957022,25.92296279363144,24.723891915356436,26.324893162176366,25.237880918156065,25.48202146733009,25.4216180875216,27.49545416973504,26.67221793607858,26.67221793607858,0.0,27.621301226026034,29.698484809834994,31.74901573277509,35.4964786985977
2/4,27.192327087081047,22.639796644912682,22.36938103046971,21.102920812886534,21.202556572887715,21.313596804954397,22.73540613010013,21.63806623888902,11.228266461381969,26.95105796038624,6.3045080092247545,19.12167827076478,5.630034663905703,19.71931874015798,11.00365162810339,22.920623619492535,1.8435488673206095,1.8435488673206095,27.621301226026034,0.0,13.762954476438104,28.59722741405223,14.655640604833392
mc4,28.460498941515414,24.832350911413993,23.96464468079562,24.263759074330288,23.80921883104286,24.89056299524408,20.493901531919196,25.00522192589559,18.452711477167362,27.748873851023216,13.156076620070605,17.74823934929885,13.16566875692523,24.028753859048933,18.759208097533556,25.099800796022265,13.370458921018807,13.370458921018807,29.698484809834994,13.762954476438104,0.0,32.4037034920393,25.099800796022265
mc3,30.983866769659336,28.10400319541597,27.787107779719644,15.708281143665182,27.548866067037522,14.933256131143402,25.099800796022265,28.019408056301927,22.20639799703207,23.664319132398465,25.544050069011647,30.740852297878796,25.785575437242628,12.31057745622331,22.367324822310767,20.493901531919196,27.97687483862031,27.97687483862031,31.74901573277509,28.59722741405223,32.4037034920393,0.0,35.4964786985977
mc2,35.4964786985977,31.33923614069389,31.485119494790034,30.302856145887514,30.17011742336955,30.235863700870926,32.4037034920393,30.0146067648767,18.757410620094124,35.4964786985977,17.79284465202101,30.740852297878796,17.172555090635655,28.17961344738517,17.79694046739368,28.982753492378876,15.475398582663823,15.475398582663823,35.4964786985977,14.655640604833392,25.099800796022265,35.4964786985977,0.0
