,mc4,12/4,12/8,2/2,4/4,2/4,6/4,6/8,mc12,5/4,7/4,3/4,9/4,7/8,9/8,5/8,mc2,mc6,mc9,mc7,mc5,mc3
mc4,0.0,13.156076620070605,13.16566875692523,13.370458921018807,13.370458921018807,13.762954476438104,18.452711477167362,18.759208097533556,20.493901531919196,23.80921883104286,23.96464468079562,24.028753859048933,24.263759074330288,24.832350911413993,24.89056299524408,25.00522192589559,25.099800796022265,25.099800796022265,27.748873851023216,28.460498941515414,29.698484809834994,32.4037034920393
12/4,13.156076620070605,0.0,1.0486824967566328,5.160388578965741,5.160388578965741,6.3045080092247545,6.746301393630056,7.1315773073327335,16.90821829199694,17.73653773736894,18.446272707354705,15.466636498301206,16.674972690884047,18.98399306348789,17.122445912498744,18.54269577821641,17.79284465202101,18.27149803230125,22.70325975727764,23.75520897494223,24.723891915356436,25.544050069011647
12/8,13.16566875692523,1.0486824967566328,0.0,4.687107787650878,4.687107787650878,5.630034663905703,7.015829783950621,7.201800772677564,17.611488809111773,18.361290809268578,19.17067446996353,15.81787560594014,17.286250771000123,19.650984729138486,17.68040095805835,19.08960478791456,17.172555090635655,18.73008404478359,23.38587582348263,24.379601630577053,25.237880918156065,25.785575437242628
2/2,13.370458921018807,5.160388578965741,4.687107787650878,0.0,0.0,1.8435488673206095,10.353393821168684,10.310541562590961,21.507275069144484,20.0761211292932,21.126536338935267,18.88114988408391,19.98187734320453,21.46826011459733,20.256166105877966,20.61266753713839,15.475398582663823,21.97276672180963,25.76577184739933,26.093117645105576,26.67221793607858,27.97687483862031
4/4,13.370458921018807,5.160388578965741,4.687107787650878,0.0,0.0,1.8435488673206095,10.353393821168684,10.310541562590961,21.507275069144484,20.0761211292932,21.126536338935267,18.88114988408391,19.98187734320453,21.46826011459733,20.256166105877966,20.61266753713839,15.475398582663823,21.97276672180963,25.76577184739933,26.093117645105576,26.67221793607858,27.97687483862031
2/4,13.762954476438104,6.3045080092247545,5.630034663905703,1.8435488673206095,1.8435488673206095,0.0,11.228266461381969,11.00365162810339,22.73540613010013,21.202556572887715,22.36938103046971,19.71931874015798,21.102920812886534,22.639796644912682,21.313596804954397,21.63806623888902,14.655640604833392,22.920623619492535,26.95105796038624,27.192327087081047,27.621301226026034,28.59722741405223
6/4,18.452711477167362,6.746301393630056,7.015829783950621,10.353393821168684,10.353393821168684,11.228266461381969,0.0,1.855287940084312,15.65600948638201,17.824827723151614,18.36675507637721,11.318237560650331,14.183782067845545,18.814916826701467,14.459428242478689,18.507081403861847,18.757410620094124,12.917888763141859,21.169416084432868,23.53741705681455,24.60390859957022,22.20639799703207
6/8,18.759208097533556,7.1315773073327335,7.201800772677564,10.310541562590961,10.310541562590961,11.00365162810339,1.855287940084312,0.0,16.762614058487916,18.817164304695858,19.521514556398227,11.685041766761138,15.117066471485764,19.875153855897736,15.285289748233405,19.37134672493801,17.79694046739368,13.457851417599567,22.228117927933784,24.53354493949243,25.4216180875216,22.367324822310767
mc12,20.493901531919196,16.90821829199694,17.611488809111773,21.507275069144484,21.507275069144484,22.73540613010013,15.65600948638201,16.762614058487916,0.0,19.324159691869433,17.987699387537617,15.747319750278555,15.65181648387643,19.31262812405109,16.78386721069146,21.012316858738544,32.4037034920393,14.491376746189438,18.708286933869708,22.58317958127243,25.099800796022265,25.099800796022265
5/4,23.80921883104286,17.73653773736894,18.361290809268578,20.0761211292932,20.0761211292932,21.202556572887715,17.824827723151614,18.817164304695858,19.324159691869433,0.0,17.29774172905198,19.738020719772177,17.38305332412552,18.161952629026118,18.09709192201779,2.8545807211371392,30.17011742336955,22.087904136170966,20.91515051842962,21.985713376875875,9.751701647701985,27.548866067037522
7/4,23.96464468079562,18.446272707354705,19.17067446996353,21.126536338935267,21.126536338935267,22.36938103046971,18.36675507637721,19.521514556398227,17.987699387537617,17.29774172905198,0.0,19.98406530747323,16.99591057158241,2.4427129587190586,17.866506495253958,18.711955008037986,31.485119494790034,21.507212299549547,19.73567963405563,8.319980162087745,23.292650640825517,27.787107779719644
3/4,24.028753859048933,15.466636498301206,15.81787560594014,18.88114988408391,18.88114988408391,19.71931874015798,11.318237560650331,11.685041766761138,15.747319750278555,19.738020719772177,19.98406530747323,0.0,9.371251924922923,20.495332605963448,9.170976670922379,20.48600291309661,28.17961344738517,11.543337910270731,18.863602306564708,24.38566103542461,25.48202146733009,12.31057745622331
9/4,24.263759074330288,16.674972690884047,17.286250771000123,19.98187734320453,19.98187734320453,21.102920812886534,14.183782067845545,15.117066471485764,15.65181648387643,17.38305332412552,16.99591057158241,9.371251924922923,0.0,17.807710322550097,1.572153163643502,18.501639514241212,30.302856145887514,15.185274801765173,10.52997496911535,21.702337577119646,23.396319374142724,15.708281143665182
7/8,24.832350911413993,18.98399306348789,19.650984729138486,21.46826011459733,21.46826011459733,22.639796644912682,18.814916826701467,19.875153855897736,19.31262812405109,18.161952629026118,2.4427129587190586,20.495332605963448,17.807710322550097,0.0,18.57845697408884,19.413508938780016,31.33923614069389,22.24436172208018,20.75349094324468,7.569506446716221,23.965776224482774,28.10400319541597
9/8,24.89056299524408,17.122445912498744,17.68040095805835,20.256166105877966,20.256166105877966,21.313596804954397,14.459428242478689,15.285289748233405,16.78386721069146,18.09709192201779,17.866506495253958,9.170976670922379,1.572153163643502,18.57845697408884,0.0,19.09428551306404,30.235863700870926,15.444209218650991,10.976287895672767,22.418257060837796,23.95120936451877,14.933256131143402
5/8,25.00522192589559,18.54269577821641,19.08960478791456,20.61266753713839,20.61266753713839,21.63806623888902,18.507081403861847,19.37134672493801,21.012316858738544,2.8545807211371392,18.711955008037986,20.48600291309661,18.501639514241212,19.413508938780016,19.09428551306404,0.0,30.0146067648767,23.095222269284594,22.243939126410382,23.157362898785287,8.846525447416168,28.019408056301927
mc2,25.099800796022265,17.79284465202101,17.172555090635655,15.475398582663823,15.475398582663823,14.655640604833392,18.757410620094124,17.79694046739368,32.4037034920393,30.17011742336955,31.485119494790034,28.17961344738517,30.302856145887514,31.33923614069389,30.235863700870926,30.0146067648767,0.0,28.982753492378876,35.4964786985977,35.4964786985977,35.4964786985977,35.4964786985977
mc6,25.099800796022265,18.27149803230125,18.73008404478359,21.97276672180963,21.97276672180963,22.920623619492535,12.917888763141859,13.457851417599567,14.491376746189438,22.087904136170966,21.507212299549547,11.543337910270731,15.185274801765173,22.24436172208018,15.444209218650991,23.095222269284594,28.982753492378876,0.0,20.493901531919196,25.69046515733026,27.49545416973504,20.493901531919196
mc9,27.748873851023216,22.70325975727764,23.38587582348263,25.76577184739933,25.76577184739933,26.95105796038624,21.169416084432868,22.228117927933784,18.708286933869708,20.91515051842962,19.73567963405563,18.863602306564708,10.52997496911535,20.75349094324468,10.976287895672767,22.243939126410382,35.4964786985977,20.493901531919196,0.0,23.664319132398465,25.92296279363144,23.664319132398465
mc7,28.460498941515414,23.75520897494223,24.379601630577053,26.093117645105576,26.093117645105576,27.192327087081047,23.53741705681455,24.53354493949243,22.58317958127243,21.985713376875875,8.319980162087745,24.38566103542461,21.702337577119646,7.569506446716221,22.418257060837796,23.157362898785287,35.4964786985977,25.69046515733026,23.664319132398465,0.0,26.832815729997478,30.983866769659336
mc5,29.698484809834994,24.723891915356436,25.237880918156065,26.67221793607858,26.67221793607858,27.621301226026034,24.60390859957022,25.4216180875216,25.099800796022265,9.751701647701985,23.292650640825517,25.48202146733009,23.396319374142724,23.965776224482774,23.95120936451877,8.846525447416168,35.4964786985977,27.49545416973504,25.92296279363144,26.832815729997478,0.0,31.74901573277509
mc3,32.4037034920393,25.544050069011647,25.785575437242628,27.97687483862031,27.97687483862031,28.59722741405223,22.20639799703207,22.367324822310767,25.099800796022265,27.548866067037522,27.787107779719644,12.31057745622331,15.708281143665182,28.10400319541597,14.933256131143402,28.019408056301927,35.4964786985977,20.493901531919196,23.664319132398465,30.983866769659336,31.74901573277509,0.0
